q_FormDataId,q_63,q_83,School,Grade,Sex,APS45,APSVNEN,RankingF,NumberofChi,Readbook,Topic,FutureJob_VN,FutureJob_VN (translated),CareerFat,CareerFat (translated),CarFatGr,AgeFat,EduFat,CareerMot,CareerMot (translated),CarMotGr,AgeMot,EduMot,EcoStt,KnowledgeInc,EstIncome,Buybook,Hobby,TimeSci,TimeSoc,Readstory,Typebook,Typebook_Other,Reason,Source,PrioAct,AftAct,Read_like,EncourAct,MostlikedAct,Bookcase,Notread_like
4,13,43075,2,8,Female,7,0,3,4,yes,e,bác sĩ,Doctor,làm ruộng,Farmer,Labor,48,UnderHi,Công nhân,Worker,Labor,40,UnderHi,med,no,NA,yes,a,2,2,no,c,NA,a,buy,a,b,"Thám tử lừng danh Cô nan
Shin Cậu bé bút chì",yes,b,d,"Lão Hạc
Alibaba và 40 tên cướp
Cây đèn thần"
5,6225,43074,3,9,NA,0,0,0,0,yes,d,Họa sĩ,Painter,Công an,Police officer,Labor,NA,Uni,Giáo viên,Teacher,Intellectuals,NA,Uni,rich,no,NA,yes,b,2,1,yes,d,NA,a,buy,c,a,NA,yes,d,c,NA
6,6226,43074,3,9,Female,6.5,0,1,2,yes,b,Thợ may,Worker,Làm ruộng,Farmer,Labor,NA,Hi,Làm ruộng,Farmer,Labor,NA,Hi,med,no,NA,yes,c,2,1,NA,a,NA,a,buy,a,a,"Truyện Conan
Truyện Kiều",NA,b,a,"Quà tặng cuộc sống
Tắt đèn
Truyện Kiều"
7,6228,43074,3,9,Female,8.5,0,1,2,yes,d,Công nhân viên chức,Public servant,Công nhân,Worker,Labor,41,Hi,Công nhân,Worker,Labor,40,Hi,med,no,8000000,yes,b,1,1,NA,c,NA,a,buy,d,a,"400 bài tập hóa học
Bài tập nâng cao toán 9",yes,a,d,NA
8,6229,43074,3,9,Female,9.75,0,2,3,yes,d,Vận động viên,Athlete,Làm ruộng,Farmer,Labor,38,UnderHi,Làm ruộng,Farmer,Labor,36,UnderHi,med,no,NA,yes,b,1,1,no,a,NA,a,borrow,a,b,NA,yes,d,d,NA
9,6230,43074,3,9,Male,0,0,1,2,yes,e,Giáo viên,Teacher,Làm ruộng,Farmer,Labor,55,PostGrad,Làm ruộng,Farmer,Labor,40,UnderHi,med,no,NA,yes,b,2,2,no,c,NA,a,buy,d,a,"Doraemon
Conan",yes,c,b,"Truyện Kiều
Conan
Doraemon"
10,6231,43074,3,9,Female,7,0,2,2,yes,d,Bác sĩ,Doctor,Công nhân,Worker,Labor,45,UnderHi,Công nhân,Worker,Labor,39,UnderHi,med,no,NA,yes,b,2,2,yes,b,NA,a,borrow,a,b,"Tắt đèn
Doraemon",yes,b,b,"Chạm tới giấc mơ
Harry Botter [sic]
Truyện Kiều"
11,6232,43074,3,9,Female,8,0,1,2,yes,b,Bác sĩ,Doctor,Làm ruộng,Farmer,Labor,34,Hi,Làm ruộng,Farmer,Labor,32,Hi,med,no,NA,yes,f,2,2,yes,a,NA,a,buy,b,d,"Quà tặng cuộc sống
Tắt đèn",yes,d,d,"Harry Potter
Truyện Kiều
Doraemon"
12,6233,43074,3,9,Female,8,0,4,4,yes,b,Giáo viên,Teacher,Làm ruộng,Farmer,Labor,47,UnderHi,Làm ruộng,Farmer,Labor,45,UnderHi,med,no,NA,yes,c,1,2,yes,a,NA,a,buy,b,a,"Quà tặng cuộc sống
Conan",yes,a,d,"Tắt đèn
Truyện Kiều
Quà tặng cuộc sống"
13,14,43075,2,8,Female,6,0,1,2,yes,d,bác sĩ,Doctor,Công nhân,Worker,Labor,32,Hi,Công nhân,Worker,Labor,32,Hi,med,no,NA,yes,b,1,1,no,c,NA,a,borrow,a,a,"Đô Rê Mon
Shin Cậu bé bút chì",yes,a,d,"Nghìn lẻ một đêm
Thám thử Cô nan
Aladin và 40 tên cướp"
14,15,43075,2,8,Male,5,0,3,3,yes,f,công nhân,Worker,làm ruộng,Farmer,Labor,45,UnderHi,làm ruộng,Farmer,Labor,36,UnderHi,med,no,NA,yes,e,1,1,no,c,NA,a,borrow,b,c,"Đô Rê Mon
Bảy viên ngọc rồng",yes,d,d,"Dế mèn phiêu lưu ký
Nghìn lẻ một đêm
Tắt đèn"
15,16,43075,2,8,Female,7,0,2,3,yes,d,bác sĩ,Doctor,làm ruộng,Farmer,Labor,39,Hi,giáo viên,Teacher,Intellectuals,38,Uni,med,yes,5000000,yes,b,2,1,no,c,NA,a,buy,d,a,"Đô Rê Mon
Cô nan",yes,a,b,"Tắt Đèn
Lão Hạc
Nghìn lẻ một đêm"
16,6234,43074,3,9,Female,7.5,0,2,3,yes,e,Công an,Police officer,Làm ruộng,Farmer,Labor,43,UnderHi,Làm ruộng,Farmer,Labor,39,Hi,med,no,NA,yes,b,2,2,yes,b,NA,a,buy,b,a,"Conan
Quà tặng cuộc sống",yes,c,a,"Tắt đèn
Bỉ vỏ
Truyện Kiều"
17,4.017,43075,2,8,Female,7,0,2,2,yes,c,giáo viên,Teacher,làm ruộng ( đã mất),Farmer,Labor,NA,NA,giáo viên,Teacher,Intellectuals,37,Uni,med,yes,6000000,yes,b,1,1,no,c,NA,a,borrow,a,a,"Cô nan
Đô Rê Mon",yes,b,b,"Nghìn lẻ một đêm
Dế mèn phưu lưu ký
Tắt đèn"
18,18,43075,2,8,Male,6.5,0,2,2,yes,f,công nhân,Worker,Thợ xây,Worker,Labor,43,UnderHi,Công nhân,Worker,Labor,39,UnderHi,med,yes,7000000,yes,b,2,1,no,c,NA,a,borrow,d,a,"Truyện về khoa học
Đô Rê Mon",yes,a,d,"Nghìn lẻ một đêm
Tìm hiểu vũ trụ
Truyện cười"
19,19,43075,2,8,Female,7.25,0,1,3,yes,b,công nhân,Worker,làm ruộng,Farmer,Labor,36,UnderHi,Công nhân,Worker,Labor,38,UnderHi,med,no,NA,yes,a,1,1,no,a,NA,a,buy,d,d,"Đô Rê Mon
Shin cậu bé bút chì",yes,b,a,"Ông lão đánh cá và con cá vàng
Nghìn lẻ một đêm
Cô nan"
20,6235,43074,3,9,Female,8.5,0,2,3,yes,f,Luật sư,Lawyer,Làm ruộng,Farmer,Labor,45,UnderHi,Làm ruộng,Farmer,Labor,43,Hi,poor,yes,NA,yes,b,1,1,no,a,NA,a,buy,a,NA,"Chạm tới ước mơ
1001 câu hỏi vì sao",yes,c,c,"Tắt đèn
Hoàng Lê nhất thống chí
Harry Potter"
21,4.02,43075,2,8,Male,5,0,2,2,yes,d,công nhân,Worker,làm ruộng ( đã mất),Farmer,Labor,NA,NA,làm ruộng,Farmer,Labor,54,UnderHi,poor,no,NA,no,b,2,1,no,a,NA,a,buy,b,b,"Manga
Đô Rê Mon",yes,b,d,"Nghìn lẻ một đêm
Tắt đèn
Đô Rê Mon tập 39"
22,6236,43074,3,9,Male,8.8,0,3,3,yes,d,"Ca sĩ, diễn viên",Actor,Làm ruộng,Farmer,Labor,42,Hi,Làm ruộng,Farmer,Labor,40,Hi,med,yes,NA,yes,b,2,2,no,b,NA,a,buy,b,c,"Tru Tiên
Conan",NA,NA,NA,"Vô Tôn Thiên Đăng
Harry Potter
Tùy bút ""1987 rồi"""
23,21,43075,2,8,Male,5.5,0,2,2,yes,f,công nhân,Worker,Thợ xây,Worker,Labor,39,UnderHi,làm ruộng,Farmer,Labor,37,UnderHi,med,no,NA,yes,b,1,1,no,c,NA,a,buy,d,a,"Đô Rê Mon
Cô nan",yes,a,b,"Nghìn lẻ một đêm
Aladin và 40 tên cướp
Adam và Eva"
24,22,43075,2,8,Female,6.5,0,5,6,yes,e,công nhân,Worker,làm ruộng,Farmer,Labor,43,UnderHi,làm ruộng,Farmer,Labor,40,UnderHi,med,no,NA,yes,b,1,1,no,a,NA,a,borrow,a,d,"Cô nan
Đô Rê Mon",yes,b,d,"Truyện Cổ tích
Nghìn lẻ một đêm
Aladin và 40 tên cướp"
25,6237,43074,3,9,Female,7,0,1,2,yes,f,Bác sĩ,Doctor,Công nhân,Worker,Labor,37,UnderHi,Công nhân,Worker,Labor,35,UnderHi,poor,yes,NA,yes,b,2,2,no,d,NA,a,borrow,a,a,"Tắt đèn
1001 câu hỏi vì sao",yes,d,b,"Chị Dậu
Harry Potter
Hoàng Lê nhất thống chí"
26,6238,43074,3,9,Female,8.5,0,1,3,yes,b,Luật sư,Lawyer,Công nhân,Worker,Labor,37,UnderHi,Công nhân,Worker,Labor,35,UnderHi,med,no,NA,yes,a,3,3,yes,d,NA,d,buy,a,a,"Dế Mèn phiêu lưu ký
Truyện Kiều",yes,c,d,"Harry Potter
Bỉ vỏ
Chí Phèo"
27,23,43075,2,8,Female,8,0,2,3,yes,d,Công an,Police officer,Thợ xây,Worker,Labor,41,UnderHi,Nhân viên,Employee,Labor,40,UnderHi,med,no,NA,no,b,2,2,no,f,công an,a,borrow,a,a,"Đô Rê Mon
Shin Cậu bé bút chì",yes,a,b,"Lão Hạc
Tắt đèn
Nghìn lẻ một đêm"
28,24,43075,2,8,Female,9.5,0,1,2,no,NA,công nhân,Worker,làm ruộng,Farmer,Labor,34,UnderHi,làm ruộng,Farmer,Labor,35,UnderHi,poor,no,NA,no,c,1,1,no,NA,NA,a,gift,a,a,"Cô Nan
Đô Rê Mon",no,NA,d,"Tắt Đèn
Nghìn lẻ một đêm
Dế mèn"
29,6239,43074,3,9,Male,8,0,2,2,yes,b,Quản lí siêu thị,Manager,Làm ruộng,Farmer,Labor,45,Hi,Làm ruộng,Farmer,Labor,42,Hi,med,yes,NA,yes,d,2,1,no,a,NA,a,buy,d,a,"Sherlock Holmes
Truyện Lục Vân Tiên",yes,d,d,"Dế mèn phưu lưu ký [sic]
Đất rừng phương Nam
Công chúa ngủ trong rừng"
30,25,43075,2,8,Male,7,0,1,2,yes,f,Bộ đội,Soldier,Thợ xây,Worker,Labor,43,UnderHi,Nhân viên,Employee,Labor,41,Hi,rich,no,NA,no,d,1,1,no,a,NA,a,borrow,a,a,"Tý Quậy
Cô nan",no,NA,d,"Lão Hạc
Tắt đèn
Dế mèn phưu lưu ký"
31,6240,43074,3,9,Female,9,0,1,2,yes,b,Nhân viên ngân hàng,Banker,Bộ đội,Soldier,Labor,41,Uni,Bác sĩ,Doctor,Intellectuals,40,Uni,med,no,NA,yes,f,2,2,yes,a,NA,a,buy,a,d,"Cho tôi xin một vé đi tuổi thơ
Tắt đèn",yes,a,d,"Harry Potter và Hội phượng hoàng
Những tấm lòng cao cả
Chú chó Bim trắng tai đen"
32,26,43075,2,8,Female,5.2,0,3,3,yes,b,công nhân,Worker,làm ruộng,Farmer,Labor,49,UnderHi,làm ruộng,Farmer,Labor,39,UnderHi,med,no,NA,no,a,1,1,no,a,NA,a,borrow,a,c,"Truyện Kiều
Đô Rê Mon",yes,b,a,"Truyện cổ tích nhiều tập
Truyện Kiều
Nghìn lẻ một đêm"
33,6241,43074,3,9,Male,9,0,3,3,yes,d,Bác sĩ,Doctor,Làm ruộng,Farmer,Labor,50,UnderHi,Làm ruộng,Farmer,Labor,45,Hi,med,no,NA,yes,b,2,1,no,c,NA,a,buy,b,d,"1001 câu hỏi vì sao
Truyện Kiều",yes,d,d,"Harry Potter
Chí Phèo
Hoàng Lê nhất thống chí"
34,6242,43074,3,9,Female,8.5,0,2,2,yes,b,Nhà báo,Journalist,Làm ruộng,Farmer,Labor,41,Hi,Làm ruộng,Farmer,Labor,40,Hi,med,no,NA,yes,f,3,3,yes,b,NA,a,borrow,b,c,"Truyện cổ Andersen
Harry Potter",yes,d,b,"Những tác phẩm của Sopia [sic]
Truyện Kiều
Thơ khác"
35,28,43075,2,8,Female,5.6,0,1,3,yes,b,công nhân,Worker,làm ruộng,Farmer,Labor,39,UnderHi,Công nhân,Worker,Labor,37,UnderHi,med,no,NA,yes,a,1,1,yes,a,NA,a,borrow,b,b,"Cô nan
Đô Rê Mon
Nghìn lẻ một đêm",yes,a,b,"Tuyển tập thơ
Truyện Kiều
Nghìn lẻ một đêm"
36,6243,43074,3,9,Female,8.3,0,1,2,yes,b,Phóng viên,Reporter,Làm ruộng,Farmer,Labor,38,UnderHi,Làm ruộng,Farmer,Labor,42,UnderHi,med,no,NA,yes,c,2,3,yes,b,NA,a,borrow,a,d,"Bỉ vỏ
1001 câu hỏi vì sao",NA,NA,NA,"Truyện Kiều 
Harry Potter
Tắt Đèn"
37,29,43075,2,8,Male,5.5,0,6,6,yes,b,Công an,Police officer,làm ruộng,Farmer,Labor,55,UnderHi,làm ruộng,Farmer,Labor,55,UnderHi,med,no,NA,yes,e,1,1,no,e,NA,a,buy,d,c,"Cô Nan
Shin cậu bé bút chì",no,c,c,"Sô cô la cho tuổi mới lớn
Chí Phèo
Truyện cổ tích"
38,6244,43074,3,9,Female,8,0,2,2,yes,b,Nhà văn,Writer,Làm ruộng,Farmer,Labor,43,Hi,Làm ruộng,Farmer,Labor,42,Hi,med,yes,NA,yes,b,2,2,yes,a,NA,a,buy,b,c,"Hạt giống tâm hồn
Harry Potter",yes,c,d,"Bỉ vỏ
Chí Phèo
Những tấm lòng cao cả"
39,30,43075,2,8,Male,6,0,1,2,yes,f,Công an,Police officer,Làm thợ,Worker,Labor,NA,Hi,làm thợ,Worker,Labor,39,Hi,med,no,NA,yes,a,1,2,no,e,NA,a,buy,b,b,"Khám phá thế giới
Hướng dẫn nghề ô tô",yes,d,a,"Khám phá đại dương
Tý quậy 
Dế mèn phưu lưu ký"
40,6245,43074,3,9,Female,8,0,3,3,yes,a,Ca sĩ,Singer,Làm ruộng,Farmer,Labor,48,UnderHi,Làm ruộng,Farmer,Labor,44,Hi,med,no,NA,yes,b,2,2,yes,a,NA,a,buy,a,b,"Tắt đèn
Harry Potter",yes,a,a,"Truyện Kiều
Những tấm lòng cao cả
Hạt giống tâm hồn"
41,31,43075,2,8,Female,5.5,0,4,4,yes,b,giáo viên,Teacher,làm ruộng,Farmer,Labor,50,UnderHi,làm ruộng,Farmer,Labor,50,UnderHi,med,no,NA,no,a,1,1,no,a,NA,a,borrow,d,d,"Đô Rê Mon
Cô nan",no,b,c,"Sô cô la cho tuổi mới lớn
Truyện cổ tích
Chí Phèo"
42,6246,43074,3,9,Female,0,0,1,2,yes,b,Bác sĩ,Doctor,Văn phòng,Employee,Intellectuals,NA,Uni,Bán hàng,Seller,Labor,NA,Hi,med,no,NA,yes,b,1,1,no,f,Chạm tới giấc mơ,a,buy,d,d,"Chạm tới giấc mơ
Quà tặng cuộc sống",yes,d,c,"Chạm tới giấc mơ
Truyện Kiều
Harry Botter [sic]"
43,6247,43074,3,9,Male,7,0,2,2,yes,a,Kỹ sư,Engineer,Làm ruộng,Farmer,Labor,42,Hi,Làm ruộng,Farmer,Labor,38,Hi,med,yes,NA,yes,f,1,1,no,b,NA,a,buy,d,a,"Chạm tới giấc mơ
Quà tặng cuộc sống",yes,d,a,"Conan
Doraemon
Truyện Kiều"
44,32,43075,2,8,Female,7.5,0,2,2,yes,d,Công an,Police officer,làm ruộng,Farmer,Labor,37,UnderHi,làm ruộng,Farmer,Labor,38,UnderHi,med,no,NA,yes,c,1,2,no,c,NA,d,borrow,b,a,"One Piece
Cô nan",no,a,a,"Tuyển tập truyện cười
Nghìn lẻ một đêm
Tuyển tập tìm hiểu sinh học"
45,33,43075,2,8,Male,6,0,1,2,yes,b,công nhân,Worker,Thợ xây,Worker,Labor,39,UnderHi,Công nhân,Worker,Labor,NA,UnderHi,med,no,NA,yes,b,1,2,no,a,NA,b,borrow,a,c,"Truyện cổ tích
Truyện dân gian",yes,b,a,"Truyện cổ tích
Truyện cười
Truyện tiếu lâm"
46,6251,43074,3,9,Male,8,0,1,2,yes,f,Game thủ,Gamer,Lái xe,Driver,Labor,38,Hi,Công nhân,Worker,Labor,34,Hi,med,no,NA,yes,b,1,1,no,a,NA,d,borrow,d,b,"Dạy con làm giàu
Hạt giống tâm hồn",yes,c,c,"Conan
Naruta [sic]
One Pice [sic]"
47,34,43075,2,8,Female,7.5,0,3,3,yes,d,công nhân,Worker,làm ruộng,Farmer,Labor,52,UnderHi,làm ruộng,Farmer,Labor,50,UnderHi,med,no,NA,yes,b,1,1,no,c,NA,a,buy,d,c,"Đô rê mon
Cô nan",yes,d,a,"Truyện cười
Truyện dân gian
Nghìn lẻ một đêm"
48,6.252,43074,3,9,Male,7,0,2,2,yes,d,Bác sĩ,Doctor,Cán bộ y tế,Doctor,Intellectuals,47,Uni,Thợ may,Worker,Labor,38,UnderHi,med,no,NA,yes,b,1,1,no,c,NA,a,buy,d,d,"10 vạn câu hỏi vì sao
Truyện ngôn tình",no,a,d,"Harry Potter
Tôi thấy hoa vàng trên cỏ xanh
Chí Phèo"
49,35,43075,2,8,Male,6.5,0,1,2,yes,d,công nhân,Worker,làm ruộng,Farmer,Labor,35,UnderHi,Công nhân,Worker,Labor,34,UnderHi,med,no,NA,yes,b,2,1,yes,d,NA,a,buy,a,b,"Đô Rê Mon
Cô nan",yes,a,d,"Truyện Cổ tích
Truyện cười
Nghìn lẻ một đêm"
50,36,43075,2,8,Female,6.5,0,2,2,yes,d,công nhân,Worker,Thợ xây,Worker,Labor,41,UnderHi,làm ruộng,Farmer,Labor,40,UnderHi,med,no,NA,yes,b,1,1,no,b,NA,a,buy,b,a,"Tấm Cám
Đô Rê Mon",yes,a,d,"Dòng sông huyền bí
Nghìn lẻ một đêm
Cây khế"
